,radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
73,2,2005-01-31 00:00:00+00:00,,,,,,,,,,,
74,2,2005-07-31 00:00:00+00:00,,,,,,,,,,,
75,2,2006-01-31 00:00:00+00:00,,,,,,,,,,,
76,2,2006-07-31 00:00:00+00:00,,,,,,,,,,,
77,2,2007-01-31 00:00:00+00:00,,,,,,,,,,,
78,2,2007-07-31 00:00:00+00:00,,,,,,,,,,,
79,2,2008-01-31 00:00:00+00:00,,,,,,,,,,,
80,2,2008-07-31 00:00:00+00:00,,,,,,,,,,,
81,2,2009-01-31 00:00:00+00:00,,,,,,,,,,,
82,2,2009-07-31 00:00:00+00:00,,,,,,,,,,,
83,2,2010-01-31 00:00:00+00:00,,,,,,,,,,,
84,2,2010-07-31 00:00:00+00:00,,,,,,,,,,,
85,2,2011-01-31 00:00:00+00:00,,,,,,,,,,,
86,3,1990-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0219512195121954,7.193696920394851e-15,5.3952726902961385e-15,,0.0,0.041905817746174745,
87,3,1990-07-31 00:00:00+00:00,11.291656529484545,8.685889638065023,,1.0,1.0266666666666668,8.982146526069662e-15,5.3892879156417975e-15,,0.0,0.044721359549995836,0.0
88,3,1991-01-31 00:00:00+00:00,11.291656529484541,8.685889638065023,,1.0,1.0333333333333334,5.385464369282055e-15,5.385464369282055e-15,,0.0,0.047639306734033146,0.0
89,3,1991-07-31 00:00:00+00:00,11.291656529484541,8.685889638065023,,1.0,1.0204081632653064,5.384295521873979e-15,5.384295521873979e-15,,0.0,0.04072055089639782,0.0
90,3,1992-01-31 00:00:00+00:00,11.291656529484541,8.685889638065023,,1.0,1.0162162162162165,5.4025784115714076e-15,5.4025784115714076e-15,,0.0,0.03736838766118226,0.0
91,3,1992-07-31 00:00:00+00:00,11.291656529484545,8.685889638065023,,1.0,1.035555555555556,8.982146526069662e-15,5.3892879156417975e-15,,0.0,0.048409031630826375,0.0
92,3,1993-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0234042553191491,7.182245020981168e-15,5.386683765735876e-15,,0.0,0.04279763279438436,0.0
93,3,1993-07-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0195652173913046,7.183942750592631e-15,5.387957062944473e-15,,0.0,0.040108548367821975,0.0
94,3,1994-01-31 00:00:00+00:00,,,,,,,,,,,
95,3,1994-07-31 00:00:00+00:00,,,,,,,,,,,
96,3,1995-01-31 00:00:00+00:00,,,,,,,,,,,
97,3,1995-07-31 00:00:00+00:00,,,,,,,,,,,
98,3,1996-01-31 00:00:00+00:00,,,,,,,,,,,
99,3,1996-07-31 00:00:00+00:00,,,,,,,,,,,
100,3,1997-01-31 00:00:00+00:00,,,,,,,,,,,
101,3,1997-07-31 00:00:00+00:00,,,,,,,,,,,
102,3,1998-01-31 00:00:00+00:00,,,,,,,,,,,
103,3,1998-07-31 00:00:00+00:00,,,,,,,,,,,
104,3,1999-01-31 00:00:00+00:00,,,,,,,,,,,
105,3,1999-07-31 00:00:00+00:00,,,,,,,,,,,
106,3,2000-01-31 00:00:00+00:00,,,,,,,,,,,
107,3,2000-07-31 00:00:00+00:00,,,,,,,,,,,
108,3,2001-01-31 00:00:00+00:00,,,,,,,,,,,
109,3,2001-07-31 00:00:00+00:00,,,,,,,,,,,
110,3,2002-01-31 00:00:00+00:00,,,,,,,,,,,
111,3,2002-07-31 00:00:00+00:00,,,,,,,,,,,
112,3,2003-01-31 00:00:00+00:00,,,,,,,,,,,
113,3,2003-07-31 00:00:00+00:00,,,,,,,,,,,
114,3,2004-01-31 00:00:00+00:00,,,,,,,,,,,
115,3,2004-07-31 00:00:00+00:00,,,,,,,,,,,
116,3,2005-01-31 00:00:00+00:00,,,,,,,,,,,
117,3,2005-07-31 00:00:00+00:00,,,,,,,,,,,
118,3,2006-01-31 00:00:00+00:00,,,,,,,,,,,
119,3,2006-07-31 00:00:00+00:00,,,,,,,,,,,
120,3,2007-01-31 00:00:00+00:00,,,,,,,,,,,
121,3,2007-07-31 00:00:00+00:00,,,,,,,,,,,
122,3,2008-01-31 00:00:00+00:00,,,,,,,,,,,
123,3,2008-07-31 00:00:00+00:00,,,,,,,,,,,
124,3,2009-01-31 00:00:00+00:00,,,,,,,,,,,
125,3,2009-07-31 00:00:00+00:00,,,,,,,,,,,
126,3,2010-01-31 00:00:00+00:00,,,,,,,,,,,
127,3,2010-07-31 00:00:00+00:00,,,,,,,,,,,
128,3,2011-01-31 00:00:00+00:00,,,,,,,,,,,
129,4,1990-01-31 00:00:00+00:00,11.29165652948454,8.685889638065023,,1.0,1.0274509803921572,3.5880649343632166e-15,5.382097401544825e-15,,0.0,0.045070750482098826,
130,4,1990-07-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0243902439024393,7.193696920394851e-15,5.3952726902961385e-15,,0.0,0.04347693529262416,0.0
131,4,1991-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0214285714285716,7.191556894489877e-15,5.3936676708674066e-15,,0.0,0.0415299732236633,0.0
132,4,1991-07-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0217391304347827,7.183942750592631e-15,5.387957062944473e-15,,0.0,0.04170288281141499,0.0
133,4,1992-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0261904761904763,7.191556894489877e-15,5.3936676708674066e-15,,0.0,0.04450006198693308,0.0
134,4,1992-07-31 00:00:00+00:00,11.29165652948454,8.685889638065023,,1.0,1.0300000000000002,3.588782762705772e-15,5.383174144058657e-15,,0.0,0.046291004988627586,0.0
135,4,1993-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0255319148936173,7.182245020981168e-15,5.386683765735876e-15,,0.0,0.04407545460261739,0.0
136,4,1993-07-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0309523809523813,7.191556894489877e-15,5.3936676708674066e-15,,0.0,0.04679011380933331,0.0
137,4,1994-01-31 00:00:00+00:00,,,,,,,,,,,
138,4,1994-07-31 00:00:00+00:00,,,,,,,,,,,
139,4,1995-01-31 00:00:00+00:00,,,,,,,,,,,
140,4,1995-07-31 00:00:00+00:00,,,,,,,,,,,
141,4,1996-01-31 00:00:00+00:00,,,,,,,,,,,
142,4,1996-07-31 00:00:00+00:00,,,,,,,,,,,
143,4,1997-01-31 00:00:00+00:00,,,,,,,,,,,
144,4,1997-07-31 00:00:00+00:00,,,,,,,,,,,
145,4,1998-01-31 00:00:00+00:00,,,,,,,,,,,
146,4,1998-07-31 00:00:00+00:00,,,,,,,,,,,
147,4,1999-01-31 00:00:00+00:00,,,,,,,,,,,
148,4,1999-07-31 00:00:00+00:00,,,,,,,,,,,
149,4,2000-01-31 00:00:00+00:00,,,,,,,,,,,
150,4,2000-07-31 00:00:00+00:00,,,,,,,,,,,
151,4,2001-01-31 00:00:00+00:00,,,,,,,,,,,
152,4,2001-07-31 00:00:00+00:00,,,,,,,,,,,
153,4,2002-01-31 00:00:00+00:00,,,,,,,,,,,
154,4,2002-07-31 00:00:00+00:00,,,,,,,,,,,
