radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
1,1990-01-31 00:00:00+00:00,4.686485919841701,2.6234082710521704,9.06401279549215e-16,6.032258064516129,1.1279569892473127,5.237099628487185,2.9373507298613175,5.022515549342143e-15,2.9871158581598625,0.34242282259556694,
1,1990-07-31 00:00:00+00:00,4.1660436469494995,2.3390272278886264,1.1336678991976803e-15,5.857142857142857,1.1395604395604404,4.5651790392228815,2.5186423829828484,5.1623542286891175e-15,2.643950867636574,0.30799679683728354,-0.28438104316354407
1,1991-01-31 00:00:00+00:00,3.9266073663491436,2.17068841011979,4.541723171039183e-16,5.968085106382978,1.0978723404255322,4.505913573574799,2.4584606544971255,5.819892891143221e-16,2.6045953090378196,0.3037325944052446,-0.16833881776883652
1,1991-07-31 00:00:00+00:00,4.403186033976827,2.483644005019189,5.870774767432353e-16,5.365591397849462,1.176344086021506,4.6518841603401615,2.626068576220477,8.89169852031706e-16,2.7138331075394766,0.30694775418003367,0.31295559489939917
1,1992-01-31 00:00:00+00:00,4.291152544158809,2.410465138121874,4.744108549896838e-16,5.674157303370786,1.13370786516854,4.759554779108903,2.590550995343032,8.128927001745946e-16,2.972507668385538,0.3147668040949736,-0.07317886689731523
1,1992-07-31 00:00:00+00:00,3.7077581328013776,2.2888690644043694,6.626585522860191e-16,5.48936170212766,1.043617021276596,3.8772641504720884,2.339582447813236,7.899186410496275e-16,2.4745790598966106,0.24910960175323518,-0.12159607371750436
1,1993-01-31 00:00:00+00:00,3.6349322237379798,2.166425675719774,5.080339971453689e-16,4.50561797752809,1.002247191011236,4.297534291712849,2.321208539929928,8.512616216644418e-16,1.9720985333212147,0.25270245173194916,-0.12244338868459526
1,1993-07-31 00:00:00+00:00,3.7768300767438805,2.445388413955275,6.789715881881886e-16,4.75,0.9693181818181821,4.190200382966968,2.545396304275567,1.4866730219655615e-15,2.041241452319315,0.2394236156096527,0.27896273823550066
1,1994-01-31 00:00:00+00:00,3.59170573542327,2.185950919975734,1.012160428460395e-15,4.610526315789474,1.006315789473684,4.267041467441403,2.439468459674317,4.9797329378113516e-15,2.1102320979643054,0.2755306394190646,-0.25943749397954097
1,1994-07-31 00:00:00+00:00,4.195939722837651,2.5994379186802026,9.804703976707082e-16,4.406593406593407,0.9945054945054945,4.7881109347598025,2.823505422982826,5.216020056556688e-15,2.0600864166233523,0.23492913227545265,0.4134869987044687
1,1995-01-31 00:00:00+00:00,3.6248412339618046,2.1198695703515646,1.4917780404910662e-15,4.728260869565218,0.9695652173913042,4.586708449560817,2.4919416221421615,7.124683541961648e-15,2.1179674107920694,0.20528143663620615,-0.47956834832863793
1,1995-07-31 00:00:00+00:00,3.8877166562177745,2.3246405571024344,1.650866706547282e-15,4.5625,0.9937500000000004,4.801459908774817,2.6278934196394466,7.108298326799564e-15,2.081560649330714,0.24572663459089736,0.2047709867508698
1,1996-01-31 00:00:00+00:00,3.9309651936111716,2.3660585361494513,4.874265741536321e-16,4.568421052631579,0.9789473684210531,4.600021291245323,2.635925802342281,7.782112242922894e-16,2.061050298140965,0.21971680846911137,0.04141797904701683
1,1996-07-31 00:00:00+00:00,3.092542600599315,1.8783387304274417,3.2308677770829653e-16,4.5054945054945055,0.9912087912087914,3.6308770896374725,2.199699078545205,4.954274759071813e-16,1.8700779922751072,0.21891061171596024,-0.48771980572200957
1,1997-01-31 00:00:00+00:00,3.869477066470429,2.31666822678099,2.1662054354189816e-15,4.644444444444445,0.9800000000000005,4.656282402600359,2.5201340506354217,8.598543526766844e-15,2.057112141339756,0.21578182906076446,0.43832949635354823
1,1997-07-31 00:00:00+00:00,3.387604728434454,2.175030077481387,1.054104629676498e-15,4.853932584269663,0.9528089887640447,3.9621870461422803,2.4610664576946344,5.225944464580971e-15,2.0645853743865246,0.225675696339424,-0.14163814929960283
1,1998-01-31 00:00:00+00:00,4.05806360029667,2.5265241919598074,5.000938648112585e-16,4.336842105263158,0.9978947368421054,4.766287828631395,2.789168363281632,1.081711469875843e-15,2.215086215678554,0.2629533359493621,0.35149411447842027
1,1998-07-31 00:00:00+00:00,3.2025671381079337,1.943858103452044,3.8633187391759554e-16,4.73404255319149,0.9648936170212771,3.730482730597623,2.164370655843176,5.889741882539055e-16,2.1209428412392843,0.23587286844049357,-0.5826660885077635
1,1999-01-31 00:00:00+00:00,4.106679075765881,2.4322162726571332,3.32374818488058e-16,4.576086956521739,0.9804347826086961,5.098545354904255,2.823977545519949,4.939222521669947e-16,2.1799974576664973,0.26238095382615206,0.48835816920508934
1,1999-07-31 00:00:00+00:00,3.74091228819325,2.2050993817976283,4.0611699911412954e-16,4.663157894736842,0.9968421052631578,4.7767906625244665,2.6659687523351434,1.190128788149821e-15,2.1616115260836413,0.2545135667407441,-0.22711689085950493
1,2000-01-31 00:00:00+00:00,3.118005973188818,1.9691601497610722,5.881389730190919e-16,4.822222222222222,0.9355555555555557,3.501351101368741,2.158045946060995,1.4052793667583711e-15,1.9976265567354614,0.1892095391038468,-0.2359392320365561
1,2000-07-31 00:00:00+00:00,3.973251775079242,2.3691135160649806,1.1060500364868808e-15,4.842105263157895,1.0021052631578953,4.652546328806544,2.522355178677645,5.0895862489439154e-15,2.247058547626511,0.29281427828531364,0.3999533663039083
1,2001-01-31 00:00:00+00:00,4.367156320108345,2.7994674180859818,1.0712364571497754e-15,4.542553191489362,0.9680851063829791,4.903440351289309,2.9209716390562073,5.188079181119285e-15,2.2607682280612504,0.2319680947460146,0.4303539020210012
1,2001-07-31 00:00:00+00:00,8.21708559340299,5.043909498012315,1.578729167094158e-15,2.632911392405063,0.9607594936708863,6.92829238737833,3.6749275035269666,6.4301135050909415e-15,1.3221700808962762,0.12133627939398939,2.2444420799263334
1,2002-01-31 00:00:00+00:00,7.535764345874061,4.751884996817599,1.9872341822048656e-15,2.576923076923077,0.9474358974358973,6.705202221656111,3.5192879070782936,6.471736358756519e-15,1.264081523439884,0.11133704413149019,-0.29202450119471646
1,2002-07-31 00:00:00+00:00,7.474493014890125,4.84427774173669,2.0374711091412817e-15,2.6987951807228914,0.9349397590361441,6.512535425139716,3.4811179957368945,6.435675285520177e-15,1.2853294135901137,0.12824684177137258,0.09239274491909111
1,2003-01-31 00:00:00+00:00,6.11498244704872,3.98343671543716,7.139282678247741e-16,2.8674698795180724,0.9228915662650603,6.285269137182454,3.4691936776463947,1.8193696177256835e-15,1.1972639982053943,0.10514252951765313,-0.8608410262995299
1,2003-07-31 00:00:00+00:00,7.688576595049249,4.841696535720733,1.5492389396111187e-15,2.675324675324675,0.9558441558441557,6.783306413573468,3.6346338807943135,6.275180664560184e-15,1.2401353750547008,0.12192912791918632,0.8582598202835734
