radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std
1.0,1990-01-31 00:00:00+00:00,3.33052483833,2.12618540781,1.52428414544e-15,6.44444444444,0.533333333333,4.10515347874,2.32688151658,3.89122077482e-15,2.5055493964,0.336489227168
1.0,1990-02-28 00:00:00+00:00,7.02944263225,3.82192486988,5.83876236241e-15,5.77777777778,0.923333333333,6.87410424905,3.71911811125,1.55408337484e-14,3.49205447329,0.478042885106
1.0,1990-03-31 00:00:00+00:00,3.51369304101,2.05011438704,3.71264682117e-16,4.88888888889,0.826666666667,4.59852341044,2.54373550798,5.30919405757e-16,3.21886798597,0.410365690574
1.0,1990-04-30 00:00:00+00:00,1.78484455339,0.966587808823,1.64945143528e-16,9.0,0.395,1.50983126259,0.840719870477,2.01587050912e-16,3.36650164612,0.424950977565
1.0,1990-05-31 00:00:00+00:00,1.64792640169,0.918721767564,1.34492655015e-16,7.8,0.586,0.658872526918,0.330299475905,1.26198800869e-16,2.48551358431,0.427920034067
1.0,1990-06-30 00:00:00+00:00,2.63038258698,1.55417744027,2.04870065608e-16,5.5,0.75,2.36319379277,1.26763493188,2.7072852779e-16,3.10017920629,0.460796412023
1.0,1990-07-31 00:00:00+00:00,3.32863750923,1.93328575446,3.88492209305e-16,6.7,0.631,4.71581283833,2.55941504101,6.23101262596e-16,3.09300285591,0.517546562586
1.0,1990-08-31 00:00:00+00:00,3.27694271338,1.7338518838,7.01527547772e-17,7.125,0.54,5.4631416384,2.81398828456,6.32175323417e-17,2.41646140343,0.38574603044
1.0,1990-09-30 00:00:00+00:00,2.68004633805,1.49506763818,1.04165047032e-16,8.2,0.456,4.17225529156,2.53596400058,5.99610445539e-17,3.42539535431,0.423220457393
1.0,1990-10-31 00:00:00+00:00,1.81505406958,1.25786210896,3.33377594133e-16,5.1,0.661,0.671995710767,0.431659939525,4.09595965824e-16,1.66332999332,0.307153598926
1.0,1990-11-30 00:00:00+00:00,2.46420321391,1.7609056768,8.81203861753e-16,7.6,0.448,2.63113046611,2.17792859318,2.11814332118e-15,2.41292814278,0.43394316064
1.0,1990-12-31 00:00:00+00:00,3.11429057877,1.75081580277,9.87552645177e-17,8.625,0.38125,5.01271089983,2.80821116228,7.80282372821e-17,3.15945293637,0.352032364584
