radius,start_time,a,b,bstd,n,mc
1,1990-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1990-07-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1991-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1991-07-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1992-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1992-07-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1993-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1993-07-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1994-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1994-07-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1995-01-31 00:00:00+00:00,1.8283032343489087,1.0218693691841219,1.539459262391283e-16,4.0,1.2
1,1995-07-31 00:00:00+00:00,1.4246728515994844,0.7896263307331851,1.2999770339563e-16,3.0,1.2
1,1996-01-31 00:00:00+00:00,2.762032059782406,1.4476482730108382,7.567966079157914e-16,2.0,1.2
1,1996-07-31 00:00:00+00:00,2.762032059782406,1.4476482730108382,7.567966079157914e-16,2.0,1.2
1,1997-01-31 00:00:00+00:00,2.762032059782406,1.4476482730108382,7.567966079157914e-16,2.0,1.2
1,1997-07-31 00:00:00+00:00,2.762032059782406,1.4476482730108382,7.567966079157914e-16,2.0,1.2
1,1998-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,1998-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,1999-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,1999-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2000-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2000-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2001-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2001-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2002-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2002-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2003-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2003-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2004-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2004-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2005-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2005-07-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2006-01-31 00:00:00+00:00,19.10895720374315,8.685889638065067,,1.0,1.2
1,2006-07-31 00:00:00+00:00,,,,,
1,2007-01-31 00:00:00+00:00,,,,,
1,2007-07-31 00:00:00+00:00,,,,,
1,2008-01-31 00:00:00+00:00,,,,,
1,2008-07-31 00:00:00+00:00,,,,,
1,2009-01-31 00:00:00+00:00,,,,,
1,2009-07-31 00:00:00+00:00,,,,,
2,1990-01-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1990-07-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1991-01-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1991-07-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1992-01-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1992-07-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1993-01-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1993-07-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1994-01-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1994-07-31 00:00:00+00:00,6.091623087707334,2.8952965460216764,0.0,2.0,1.9
2,1995-01-31 00:00:00+00:00,2.037002572529159,0.8685889638065034,1.32156099594888e-16,18.0,0.8999999999999999
2,1995-07-31 00:00:00+00:00,1.998622976074199,0.8535267274399168,6.767669077673964e-17,17.0,0.8999999999999999
2,1996-01-31 00:00:00+00:00,1.9168478204642903,0.856355316428947,8.328400829405409e-17,14.0,0.8999999999999999
2,1996-07-31 00:00:00+00:00,1.9269426224297237,0.9033325223587634,2.6692610043581823e-16,13.0,0.8999999999999999
2,1997-01-31 00:00:00+00:00,1.9269426224297237,0.9033325223587634,2.6692610043581823e-16,13.0,0.8999999999999999
2,1997-07-31 00:00:00+00:00,1.9269426224297237,0.9033325223587634,2.6692610043581823e-16,13.0,0.8999999999999999
2,1998-01-31 00:00:00+00:00,1.9863411183103548,1.0499427035023663,5.904669631286406e-16,11.0,0.8999999999999999
2,1998-07-31 00:00:00+00:00,1.8685889638065034,0.9650988486738927,0.0,10.0,0.8999999999999999
