,radius,start_time,a,b,bstd,n,mc
94,3,1994-01-31 00:00:00+00:00,,,,,
95,3,1994-07-31 00:00:00+00:00,,,,,
96,3,1995-01-31 00:00:00+00:00,,,,,
97,3,1995-07-31 00:00:00+00:00,,,,,
98,3,1996-01-31 00:00:00+00:00,,,,,
99,3,1996-07-31 00:00:00+00:00,,,,,
100,3,1997-01-31 00:00:00+00:00,,,,,
101,3,1997-07-31 00:00:00+00:00,,,,,
102,3,1998-01-31 00:00:00+00:00,,,,,
103,3,1998-07-31 00:00:00+00:00,,,,,
104,3,1999-01-31 00:00:00+00:00,,,,,
105,3,1999-07-31 00:00:00+00:00,,,,,
106,3,2000-01-31 00:00:00+00:00,,,,,
107,3,2000-07-31 00:00:00+00:00,,,,,
108,3,2001-01-31 00:00:00+00:00,,,,,
109,3,2001-07-31 00:00:00+00:00,,,,,
110,3,2002-01-31 00:00:00+00:00,,,,,
111,3,2002-07-31 00:00:00+00:00,,,,,
112,3,2003-01-31 00:00:00+00:00,,,,,
113,3,2003-07-31 00:00:00+00:00,,,,,
114,3,2004-01-31 00:00:00+00:00,,,,,
115,3,2004-07-31 00:00:00+00:00,,,,,
116,3,2005-01-31 00:00:00+00:00,,,,,
117,3,2005-07-31 00:00:00+00:00,,,,,
118,3,2006-01-31 00:00:00+00:00,,,,,
119,3,2006-07-31 00:00:00+00:00,,,,,
120,3,2007-01-31 00:00:00+00:00,,,,,
121,3,2007-07-31 00:00:00+00:00,,,,,
122,3,2008-01-31 00:00:00+00:00,,,,,
123,3,2008-07-31 00:00:00+00:00,,,,,
124,3,2009-01-31 00:00:00+00:00,,,,,
125,3,2009-07-31 00:00:00+00:00,,,,,
126,3,2010-01-31 00:00:00+00:00,,,,,
127,3,2010-07-31 00:00:00+00:00,,,,,
128,3,2011-01-31 00:00:00+00:00,,,,,
129,4,1990-01-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
130,4,1990-07-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
131,4,1991-01-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
132,4,1991-07-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
133,4,1992-01-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
134,4,1992-07-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
135,4,1993-01-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
136,4,1993-07-31 00:00:00+00:00,11.291656529484536,8.685889638065028,,1.0,1.0
137,4,1994-01-31 00:00:00+00:00,,,,,
138,4,1994-07-31 00:00:00+00:00,,,,,
139,4,1995-01-31 00:00:00+00:00,,,,,
140,4,1995-07-31 00:00:00+00:00,,,,,
141,4,1996-01-31 00:00:00+00:00,,,,,
142,4,1996-07-31 00:00:00+00:00,,,,,
143,4,1997-01-31 00:00:00+00:00,,,,,
144,4,1997-07-31 00:00:00+00:00,,,,,
145,4,1998-01-31 00:00:00+00:00,,,,,
146,4,1998-07-31 00:00:00+00:00,,,,,
147,4,1999-01-31 00:00:00+00:00,,,,,
148,4,1999-07-31 00:00:00+00:00,,,,,
149,4,2000-01-31 00:00:00+00:00,,,,,
150,4,2000-07-31 00:00:00+00:00,,,,,
151,4,2001-01-31 00:00:00+00:00,,,,,
152,4,2001-07-31 00:00:00+00:00,,,,,
153,4,2002-01-31 00:00:00+00:00,,,,,
154,4,2002-07-31 00:00:00+00:00,,,,,
155,4,2003-01-31 00:00:00+00:00,,,,,
156,4,2003-07-31 00:00:00+00:00,,,,,
157,4,2004-01-31 00:00:00+00:00,,,,,
158,4,2004-07-31 00:00:00+00:00,,,,,
159,4,2005-01-31 00:00:00+00:00,,,,,
160,4,2005-07-31 00:00:00+00:00,,,,,
161,4,2006-01-31 00:00:00+00:00,,,,,
162,4,2006-07-31 00:00:00+00:00,,,,,
163,4,2007-01-31 00:00:00+00:00,,,,,
164,4,2007-07-31 00:00:00+00:00,,,,,
