radius,start_time,a,b,bstd,n,mc
1,1990-01-31 00:00:00+00:00,1.7819566984784636,0.9196824322657098,0.0,9.0,0.8999999999999999
1,1990-07-31 00:00:00+00:00,1.7819566984784636,0.9196824322657098,0.0,9.0,0.8999999999999999
1,1991-01-31 00:00:00+00:00,1.7819566984784636,0.9196824322657098,0.0,9.0,0.8999999999999999
1,1991-07-31 00:00:00+00:00,1.7819566984784636,0.9196824322657098,0.0,9.0,0.8999999999999999
1,1992-01-31 00:00:00+00:00,1.7819566984784636,0.9196824322657098,0.0,9.0,0.8999999999999999
1,1992-07-31 00:00:00+00:00,1.822772419257653,1.0218693691841216,4.275786983708627e-16,8.0,0.8999999999999999
1,1993-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1993-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1994-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1994-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1995-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1995-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1996-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1996-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1997-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1997-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1998-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1998-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1999-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,1999-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,2000-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,2000-07-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,2001-01-31 00:00:00+00:00,1.7162273312946676,1.0423067565678046,1.0129745637241795e-16,6.0,0.8999999999999999
1,2001-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2002-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2002-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2003-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2003-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2004-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2004-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2005-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2005-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2006-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2006-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2007-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2007-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2008-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2008-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2009-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2009-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2010-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2010-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2011-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2011-07-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
1,2012-01-31 00:00:00+00:00,1.8047216335215825,1.3362907135484667,2.6325664309531396e-16,4.0,0.8999999999999999
