radius,start_time,a,b,bstd,n,mc
1,1990-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1990-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1991-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1991-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1992-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1992-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1993-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1993-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1994-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1994-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1995-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1995-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1996-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1996-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1997-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1997-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1998-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1998-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1999-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,1999-07-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,2000-01-31 00:00:00+00:00,2.4086441909232166,1.1581186184086714,9.153351394754026e-17,8,1.3
1,2000-07-31 00:00:00+00:00,1.5043884583252172,0.7325449092344004,2.1143745847193677e-16,7,0.8
1,2001-01-31 00:00:00+00:00,1.5043884583252172,0.7325449092344004,2.1143745847193677e-16,7,0.8
1,2001-07-31 00:00:00+00:00,1.5043884583252172,0.7325449092344004,2.1143745847193677e-16,7,0.8
1,2002-01-31 00:00:00+00:00,1.3794820714804539,0.6681453567742335,6.243679510134238e-17,6,0.8
1,2002-07-31 00:00:00+00:00,1.3794820714804539,0.6681453567742335,6.243679510134238e-17,6,0.8
1,2003-01-31 00:00:00+00:00,1.3794820714804539,0.6681453567742335,6.243679510134238e-17,6,0.8
