radius,start_time,a,b,bstd,n,mc
1,1990-01-31 00:00:00+00:00,2.7228935233686324,0.5949239478126734,5.488251350898867e-16,15.0,2.3000000000000003
1,1990-07-31 00:00:00+00:00,2.7228935233686324,0.5949239478126734,5.488251350898867e-16,15.0,2.3000000000000003
1,1991-01-31 00:00:00+00:00,2.849867493026142,0.9143041724278983,5.511551117104118e-17,16.0,1.8
1,1991-07-31 00:00:00+00:00,2.79346381235055,0.8985403073860381,0.0,15.0,1.8
1,1992-01-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1992-07-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1993-01-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1993-07-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1994-01-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1994-07-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1995-01-31 00:00:00+00:00,2.883305963291245,0.9650988486738926,2.8207587859936276e-16,14.0,1.8
1,1995-07-31 00:00:00+00:00,3.424371448325184,1.302883445709755,4.527343829851778e-16,12.0,1.8
1,1996-01-31 00:00:00+00:00,3.424371448325184,1.302883445709755,4.527343829851778e-16,12.0,1.8
1,1996-07-31 00:00:00+00:00,3.424371448325184,1.302883445709755,4.527343829851778e-16,12.0,1.8
1,1997-01-31 00:00:00+00:00,3.424371448325184,1.302883445709755,4.527343829851778e-16,12.0,1.8
1,1997-07-31 00:00:00+00:00,3.2335144783595804,1.2408413768664335,2.4865694602397887e-16,10.0,1.8
1,1998-01-31 00:00:00+00:00,19.97754616754965,8.685889638065067,,1.0,2.1
1,1998-07-31 00:00:00+00:00,2.873754204360357,1.3362907135484674,2.632566430953142e-16,4.0,1.5
1,1999-01-31 00:00:00+00:00,2.873754204360357,1.3362907135484674,2.632566430953142e-16,4.0,1.5
1,1999-07-31 00:00:00+00:00,,,,,
1,2000-01-31 00:00:00+00:00,,,,,
1,2000-07-31 00:00:00+00:00,,,,,
2,1990-01-31 00:00:00+00:00,3.197743431158339,0.6471839338166114,6.389235246290922e-16,38.0,2.4000000000000004
2,1990-07-31 00:00:00+00:00,3.197743431158339,0.6471839338166114,6.389235246290922e-16,38.0,2.4000000000000004
2,1991-01-31 00:00:00+00:00,3.0457185551059505,0.6913745640545826,5.729042483282839e-16,87.0,1.5999999999999999
2,1991-07-31 00:00:00+00:00,3.039099573422634,0.6903757013619165,5.551559249857769e-16,86.0,1.5999999999999999
2,1992-01-31 00:00:00+00:00,2.913959248023794,0.6406613633750099,3.0987124533329355e-16,104.0,1.4
2,1992-07-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1993-01-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1993-07-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1994-01-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1994-07-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1995-01-31 00:00:00+00:00,2.916114094511964,0.6512805148066582,6.4664332567843926e-18,101.0,1.4
2,1995-07-31 00:00:00+00:00,2.893840434680323,0.6543691638510536,2.707533539568314e-16,95.0,1.4
2,1996-01-31 00:00:00+00:00,2.883209920772755,0.650058619409326,1.6849637534296365e-16,94.0,1.4
2,1996-07-31 00:00:00+00:00,2.7779123089565214,0.6017516264299781,1.5395217336189083e-16,99.0,1.3
2,1997-01-31 00:00:00+00:00,2.7661436806571205,0.5960904653574044,5.955846350653585e-17,98.0,1.3
2,1997-07-31 00:00:00+00:00,2.7389400568980733,0.5890863102295189,2.520996031140892e-16,94.0,1.3
2,1998-01-31 00:00:00+00:00,2.401890782450165,0.9650988486738935,6.727080959251499e-16,9.0,1.5
2,1998-07-31 00:00:00+00:00,2.3396380470816363,0.9650988486738926,3.190934675337757e-16,5.0,1.5999999999999999
2,1999-01-31 00:00:00+00:00,2.3396380470816363,0.9650988486738926,3.190934675337757e-16,5.0,1.5999999999999999
2,1999-07-31 00:00:00+00:00,22.583313058969175,8.685889638065067,,1.0,1.5999999999999999
2,2000-01-31 00:00:00+00:00,,,,,
2,2000-07-31 00:00:00+00:00,,,,,
3,1990-01-31 00:00:00+00:00,3.329894638454812,0.6116823688778202,7.643308922732321e-16,195.0,1.7
3,1990-07-31 00:00:00+00:00,3.3479389489311098,0.628932557634283,6.588051545108905e-16,190.0,1.7
3,1991-01-31 00:00:00+00:00,3.4643706977004065,0.7477918231446735,1.6639088622099022e-15,156.0,1.7
3,1991-07-31 00:00:00+00:00,3.4564749101475294,0.7464436407712155,1.6090730307004051e-15,154.0,1.7
3,1992-01-31 00:00:00+00:00,3.495116934900329,0.7828023994799364,1.1227483665537464e-15,146.0,1.7
3,1992-07-31 00:00:00+00:00,3.4861138905846496,0.7846032624715256,2.1463061929048527e-15,142.0,1.7
3,1993-01-31 00:00:00+00:00,3.4861138905846496,0.7846032624715256,2.1463061929048527e-15,142.0,1.7
3,1993-07-31 00:00:00+00:00,3.4861138905846496,0.7846032624715256,2.1463061929048527e-15,142.0,1.7
3,1994-01-31 00:00:00+00:00,3.4861138905846496,0.7846032624715256,2.1463061929048527e-15,142.0,1.7
3,1994-07-31 00:00:00+00:00,3.4829844850091227,0.7845678660904373,1.7317949987950067e-15,141.0,1.7
3,1995-01-31 00:00:00+00:00,3.4746895612948716,0.7815067797744905,1.5115023942454541e-15,140.0,1.7
3,1995-07-31 00:00:00+00:00,3.475903670616635,0.7896263307331867,1.687327601893782e-15,136.0,1.7
3,1996-01-31 00:00:00+00:00,3.475903670616635,0.7896263307331867,1.687327601893782e-15,136.0,1.7
3,1996-07-31 00:00:00+00:00,3.427660948904829,0.7827946681745723,1.6992004958936814e-15,125.0,1.7
3,1997-01-31 00:00:00+00:00,3.4377576144604083,0.7907858407636315,1.230918743968427e-15,124.0,1.7
3,1997-07-31 00:00:00+00:00,3.4054697835964793,0.7801697279699147,1.4410926801672093e-15,120.0,1.7
3,1998-01-31 00:00:00+00:00,2.816359173660631,1.0218693691841214,5.105808753389163e-16,12.0,1.7
3,1998-07-31 00:00:00+00:00,2.716978184268671,1.0099871672168654,8.237013490518514e-16,10.0,1.7
3,1999-01-31 00:00:00+00:00,2.8259905582054525,1.1010282639800753,3.6481169554361775e-16,9.0,1.7
3,1999-07-31 00:00:00+00:00,1.9060901951755234,0.8405699649740359,4.4193808219929583e-16,3.0,1.7
3,2000-01-31 00:00:00+00:00,1.5644321248370776,0.7896263307331851,0.0,2.0,1.0
3,2000-07-31 00:00:00+00:00,22.583313058969175,8.685889638065067,,1.0,1.8
4,1990-01-31 00:00:00+00:00,3.4057528088080806,0.5868032427837319,2.530502447399558e-15,293.0,1.5999999999999999
4,1990-07-31 00:00:00+00:00,3.414577966200051,0.59888245816938,2.785066603117969e-15,286.0,1.5999999999999999
4,1991-01-31 00:00:00+00:00,3.467880496617291,0.6698007184509716,2.262602819652393e-15,249.0,1.5999999999999999
4,1991-07-31 00:00:00+00:00,3.4649539953033894,0.6723674443367856,2.4702516596103216e-15,245.0,1.5999999999999999
4,1992-01-31 00:00:00+00:00,3.482294301166749,0.694516524309383,2.376205345682003e-15,235.0,1.5999999999999999
4,1992-07-31 00:00:00+00:00,3.4801348992813876,0.6990044145398717,1.811428666966519e-15,230.0,1.5999999999999999
4,1993-01-31 00:00:00+00:00,3.4801348992813876,0.6990044145398717,1.811428666966519e-15,230.0,1.5999999999999999
4,1993-07-31 00:00:00+00:00,3.4801348992813876,0.6990044145398717,1.811428666966519e-15,230.0,1.5999999999999999
