radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
1,1990-01-31 00:00:00+00:00,2.890529160623798,0.6482874565443382,2.706422230589927e-16,25.52,2.031000000000001,2.7307083896378552,0.8298500449651266,4.3525472144679053e-16,12.27996643959485,0.4051923099971274,
1,1990-07-31 00:00:00+00:00,2.6582039316010846,0.5738631446245782,3.359267818829688e-16,24.96,2.0470000000000015,0.4776197358806116,0.17827012246987053,3.3829783556680335e-16,11.837212339043178,0.3346806105992863,-0.07442431191975996
1,1991-01-31 00:00:00+00:00,3.201844045306314,1.0418955337261075,5.82370906771233e-16,18.37,1.7280000000000006,2.568793715422804,0.8242925430610735,6.555561421415202e-16,6.433270528818892,0.21931021338954942,0.46803238910152933
1,1991-07-31 00:00:00+00:00,3.398440064841814,1.148175387706207,7.985056602896845e-16,17.3,1.7400000000000002,2.4268559726798293,0.9443277353410282,1.6133702236761691e-15,6.931847160065275,0.23741027013092,0.10627985398009954
1,1992-01-31 00:00:00+00:00,3.618534050115088,1.2622920837805387,5.551064322320264e-16,16.46,1.7370000000000008,3.460595855577648,1.3454558007360313,5.516384685771149e-16,6.659723657323866,0.22140734432536827,0.11411669607433161
1,1992-07-31 00:00:00+00:00,4.424712109145556,1.5319182577789223,5.562054688764411e-16,15.16,1.7850000000000008,5.275822425770961,1.9031749703306158,5.607894069344294e-16,7.2177111008514006,0.28297660252352613,0.2696261739983836
1,1993-01-31 00:00:00+00:00,4.30225123188764,1.4809682335880356,1.7104390829882822e-15,14.93,1.7920000000000003,5.100063520596146,1.7789951666473571,9.549613409122286e-15,7.0657160595613675,0.2611861057142625,-0.05095002419088668
1,1993-07-31 00:00:00+00:00,4.11591724265675,1.4433622824802386,4.997662721410159e-16,15.272727272727273,1.7696969696969702,4.450711190801449,1.6465264925671677,5.953210840308726e-16,6.914666727722538,0.24220692176299852,-0.037605951107797075
1,1994-01-31 00:00:00+00:00,4.1464190662250955,1.4232330730792395,6.568090585756676e-16,16.142857142857142,1.7428571428571429,4.8520861621465645,1.6261523075764017,6.485697490805253e-16,7.087087139559621,0.2596587768829916,-0.02012920940099905
1,1994-07-31 00:00:00+00:00,3.296955400572859,1.1406358311411215,7.170260943113648e-16,15.99,1.7699999999999998,1.0356969526075595,0.4328540677546235,7.766592628583628e-16,7.2995018509982765,0.2552479483786602,-0.28259724193811797
1,1995-01-31 00:00:00+00:00,4.425612593344404,1.5371209572009712,1.6263635960988018e-15,15.080808080808081,1.7868686868686863,5.255085147771729,1.8642500424132977,9.546682321716199e-15,7.153815547759295,0.28487249731023223,0.39648512605984965
1,1995-07-31 00:00:00+00:00,4.843083757570324,1.9010396012974684,1.3408373231041184e-15,13.39795918367347,1.7714285714285716,3.9717406274502154,1.6057580695120504,1.8837293489030716e-15,6.350159988110969,0.22291415757973862,0.3639186440964972
1,1996-01-31 00:00:00+00:00,5.031878743166483,2.018059747796733,1.4817275388060738e-15,12.363636363636363,1.7898989898989894,4.120559058992715,1.752243065102405,4.331937782531795e-15,6.026225923978243,0.21922635282848527,0.11702014649926462
1,1996-07-31 00:00:00+00:00,5.611114052828302,2.203566318324279,2.6148036979420113e-15,13.0,1.774226804123711,5.612460861931024,2.2909666231410575,9.944418633562789e-15,6.648934751772899,0.2521897229416543,0.18550657052754582
1,1997-01-31 00:00:00+00:00,5.255247037148891,2.061370182951923,1.8126847329441378e-15,12.45360824742268,1.7917525773195881,4.683017568339286,1.8659424156816966,5.18941565706287e-15,6.592326060397646,0.2511100784071863,-0.14219613537235576
