radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
1,1990-01-31 00:00:00+00:00,3.1845352660551116,1.6093434502622412,1.4108755339252598e-15,8.389473684210527,1.2473684210526315,2.4446996207210128,1.4416522722299012,5.077642932514179e-15,3.7339578478347195,0.3006525191812528,
1,1990-07-31 00:00:00+00:00,3.5752543634975638,1.8150026189962098,1.0227950209774127e-15,8.23,1.2289999999999994,3.450828786055097,1.8264288974350964,2.1733752287379676e-15,4.153263290425488,0.3397250819605925,0.2056591687339686
1,1991-01-31 00:00:00+00:00,3.439385967912423,1.6750843628770864,5.624071964678449e-16,8.93939393939394,1.1919191919191916,3.6432742885467464,1.7307093670211235,6.602378096755104e-16,4.144871879111417,0.3474915261561938,-0.13991825611912345
1,1991-07-31 00:00:00+00:00,3.4107905121370354,1.7337660919893487,8.173305233613397e-16,8.628865979381443,1.2072164948453603,3.070344699198449,1.6564272911878437,1.4826552243565784e-15,4.144071034896488,0.3247586997424692,0.058681729112262326
1,1992-01-31 00:00:00+00:00,3.6464229950885767,1.81333732194362,8.963138654929066e-16,8.395833333333334,1.2510416666666668,3.4967513970705766,1.7672084794206477,1.5482211418506875e-15,3.9188590355294592,0.3178860410394255,0.07957122995427124
1,1992-07-31 00:00:00+00:00,3.231484309873477,1.5605396282323427,6.236650340511553e-16,8.909090909090908,1.2151515151515149,3.065673742551617,1.4451535264859876,7.615683118017651e-16,4.050928110060174,0.3429653508897747,-0.25279769371127725
1,1993-01-31 00:00:00+00:00,3.8111818554086017,1.958131619314658,8.737545153039193e-16,7.87,1.2569999999999997,3.4150925282070155,1.785372918886997,1.4483564172636882e-15,4.044337605426465,0.328219869642718,0.39759199108231535
1,1993-07-31 00:00:00+00:00,3.308508954258964,1.6564165563626574,7.720513222123214e-16,8.83673469387755,1.1908163265306118,3.1343128466256993,1.6396956692335023,2.065838260534256e-15,3.836057570144684,0.3146219248669507,-0.3017150629520007
1,1994-01-31 00:00:00+00:00,3.2343636224429457,1.6506726420130746,7.260871700215728e-16,8.816326530612244,1.1897959183673465,2.6584150521673475,1.4536121170306386,1.116683016060971e-15,4.14019009169523,0.3542058915255588,-0.005743914349582768
1,1994-07-31 00:00:00+00:00,3.4804863115772147,1.7599833772707203,7.709768214486763e-16,8.757575757575758,1.2020202020202015,3.3946267809613966,1.7507525720507358,1.1738104086033732e-15,3.979772604238478,0.3077170042258872,0.10931073525764567
1,1995-01-31 00:00:00+00:00,3.6860323970255076,1.869478342297729,9.350328551431917e-16,8.424242424242424,1.2474747474747474,3.3498093968954343,1.670863566906788,1.8207714069336874e-15,4.196915556158923,0.3399710174752398,0.10949496502700873
1,1995-07-31 00:00:00+00:00,3.1766208310822632,1.5705934157919526,8.544301853391987e-16,9.272727272727273,1.1646464646464647,2.960869542632734,1.4955727863256982,2.2394635374623272e-15,4.100319006549747,0.3320662373416962,-0.29888492650577647
1,1996-01-31 00:00:00+00:00,3.9897785383345354,2.039721452486915,1.0157518221252586e-15,8.363636363636363,1.2464646464646458,3.9069949171192495,2.0507021705494974,2.103422921395129e-15,3.839787795620859,0.3098100574490076,0.4691280366949626
