radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
15,2003-01-31 00:00:00+00:00,2.4052898640769897,1.0517727931061718,3.253334666175546e-16,10.61,1.1540000000000012,1.6864314793658268,0.8935377165603277,4.651567548611337e-16,4.266133962957444,0.1313642480150731,0.07025840389066695
15,2003-07-31 00:00:00+00:00,2.4545353204115195,0.9871759909408669,2.19471713868939e-16,9.13,1.1830000000000012,3.1448695445374195,1.1484036659580377,2.203044538108043e-16,3.799667715402854,0.14978435677784763,-0.06459680216530483
15,2004-01-31 00:00:00+00:00,2.5923452367400897,1.3448254346106585,4.814337756675205e-16,7.57,1.1660000000000013,1.2994608287256133,0.8925035066356231,5.65172995022824e-16,3.900932289501156,0.11653239026038209,0.35764944366979157
15,2004-07-31 00:00:00+00:00,3.134286679073286,1.7504416340535451,9.572445452380298e-16,7.0,1.1030303030303037,2.890861820373086,1.7100346661759203,1.7361284354955058e-15,4.503966505838413,0.17110358806251375,0.4056161994428866
15,2005-01-31 00:00:00+00:00,2.6738940608120134,1.4087224857649547,4.768655287802022e-16,6.37,1.1349999999999998,2.7780053608149755,1.4420585622677942,7.481472004974625e-16,3.0868080339379427,0.1955954389999309,-0.3417191482885904
15,2005-07-31 00:00:00+00:00,2.9866825499111935,1.5826693073111142,2.794633828665389e-16,4.273684210526316,1.0768421052631572,4.457612401557312,2.200661615769509,3.954121533984727e-16,1.8185925424311904,0.2303801814295683,0.17394682154615948
15,2006-01-31 00:00:00+00:00,5.990050411362598,3.063112564461389,2.608191425298273e-16,3.5053763440860215,1.0612903225806452,7.081399735417298,3.390890641654221,7.042664390661767e-16,1.7669899234105197,0.3316730507935803,1.4804432571502748
15,2006-07-31 00:00:00+00:00,4.663641634120896,2.4313000198639796,4.022941592605883e-16,3.367816091954023,1.0091954022988507,6.20696866154967,2.954242057711964,8.626961116533463e-16,1.2493248644557349,0.29160030940266807,-0.6318125445974094
15,2007-01-31 00:00:00+00:00,17.371779276130045,8.685889638065023,,1.0,0.8999999999999992,1.0775914125888946e-14,5.387957062944473e-15,,0.0,6.734946328680591e-16,6.254589618201043
16,1990-01-31 00:00:00+00:00,2.3977752120236873,0.6919367548397232,2.477570185879754e-16,26.94,1.2610000000000015,0.5595438302766457,0.2463110695964477,2.3165779109240423e-16,7.754855110044145,0.29912160967362006,-7.993952883225299
