radius,start_time,a,b,bstd,n,mc
4,1992-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1992-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1993-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1993-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1994-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1994-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1995-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1995-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1996-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1996-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1997-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1997-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1998-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1998-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1999-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,1999-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,2000-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,2000-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,2001-01-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,2001-07-31 00:00:00+00:00,8.98691963372903,4.342944819032525,1.3622338942484309e-14,2.0,1.5999999999999999
4,2002-01-31 00:00:00+00:00,17.371779276130056,8.685889638065028,,1.0,1.5999999999999999
4,2002-07-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2003-01-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2003-07-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2004-01-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2004-07-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2005-01-31 00:00:00+00:00,1.5387299882609446,0.965098848673893,0.0,3.0,0.8
4,2005-07-31 00:00:00+00:00,,,,,
4,2006-01-31 00:00:00+00:00,,,,,
4,2006-07-31 00:00:00+00:00,,,,,
4,2007-01-31 00:00:00+00:00,,,,,
5,1990-01-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1990-07-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1991-01-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1991-07-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1992-01-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1992-07-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
5,1993-01-31 00:00:00+00:00,1.6927163177251288,0.7896263307331851,0.0,8.0,1.0
